temp,bpm,red,adc,med,trig,max,min
31.625001,39.438939,10688,8328,8336,0,8408,8336
32.437501,39.438939,10696,8344,8336,0,8392,8336
31.812501,39.438939,10680,8320,8336,0,8392,8336
31.812501,39.438939,10712,8336,8328,0,8392,8328
31.437500,39.438939,10680,8312,8336,0,8392,8328
32.250001,39.438939,10688,8336,8328,0,8392,8328
33.125000,39.438939,10680,8336,8336,0,8392,8328
32.250001,39.438939,10688,8312,8336,0,8392,8328
31.437500,39.438939,10672,8328,8336,0,8392,8328
31.812501,39.438939,10672,8352,8328,0,8384,8328
31.812501,39.438939,10672,8328,8336,0,8376,8328
31.625001,39.438939,10696,8344,8328,0,8360,8328
32.312500,39.438939,10656,8320,8328,0,8360,8328
31.812501,39.438939,10672,8328,8328,0,8352,8328
31.437500,39.438939,10640,8344,8328,0,8352,8328
31.312501,39.438939,10672,8344,8328,0,8352,8328
31.750000,39.438939,10664,8320,8344,0,8352,8328
32.250001,39.438939,10664,8320,8328,0,8352,8328
32.250001,39.438939,10664,8328,8328,0,8352,8328
32.000000,39.438939,10632,8320,8328,0,8344,8328
